Time_ms,Voltage_V,Pos_X,Pos_Y,Pos_Z,Vel_X,Vel_Y,Vel_Z
44858,0.51,74.50,0.00,0.00,5.00,0.00,0.00
44958,0.50,74.50,0.00,0.00,5.00,0.00,0.00
45058,0.49,74.50,0.00,0.00,5.00,0.00,0.00
45158,0.48,74.50,0.00,0.00,5.00,0.00,0.00
45258,0.47,74.50,0.00,0.00,5.00,0.00,0.00
45359,0.46,74.50,0.00,0.00,5.00,0.00,0.00
45459,0.45,74.50,0.00,0.00,5.00,0.00,0.00
45559,0.44,74.50,0.00,0.00,5.00,0.00,0.00
45659,0.43,74.50,0.00,0.00,5.00,0.00,0.00
45759,0.42,74.50,0.00,0.00,5.00,0.00,0.00
45859,0.41,74.50,0.00,0.00,5.00,0.00,0.00
45959,0.40,74.50,0.00,0.00,5.00,0.00,0.00
46058,0.39,74.50,0.00,0.00,5.00,0.00,0.00
46159,0.38,74.50,0.00,0.00,5.00,0.00,0.00
46259,0.37,74.50,0.00,0.00,5.00,0.00,0.00
46360,0.36,74.50,0.00,0.00,5.00,0.00,0.00
46460,0.35,74.50,0.00,0.00,5.00,0.00,0.00
46560,0.34,74.50,0.00,0.00,5.00,0.00,0.00
46660,0.33,74.50,0.00,0.00,5.00,0.00,0.00
46760,0.32,74.50,0.00,0.00,5.00,0.00,0.00
46860,0.31,74.50,0.00,0.00,5.00,0.00,0.00
46960,0.30,74.50,0.00,0.00,5.00,0.00,0.00
47060,0.29,74.50,0.00,0.00,5.00,0.00,0.00
47160,0.28,74.50,0.00,0.00,5.00,0.00,0.00
47260,0.27,74.50,0.00,0.00,5.00,0.00,0.00
47361,0.26,74.50,0.00,0.00,5.00,0.00,0.00
47461,0.25,74.50,0.00,0.00,5.00,0.00,0.00
47561,0.24,74.50,0.00,0.00,5.00,0.00,0.00
47661,0.23,74.50,0.00,0.00,5.00,0.00,0.00
47762,0.22,74.50,0.00,0.00,5.00,0.00,0.00
47862,0.21,74.50,0.00,0.00,5.00,0.00,0.00
47962,0.20,74.50,0.00,0.00,5.00,0.00,0.00
48061,0.19,74.50,0.00,0.00,5.00,0.00,0.00
48162,0.18,74.50,0.00,0.00,5.00,0.00,0.00
48262,0.17,74.50,0.00,0.00,5.00,0.00,0.00
48363,0.16,74.50,0.00,0.00,5.00,0.00,0.00
48463,0.15,74.50,0.00,0.00,5.00,0.00,0.00
48563,0.14,74.50,0.00,0.00,5.00,0.00,0.00
48663,0.13,74.50,0.00,0.00,5.00,0.00,0.00
48764,0.12,74.50,0.00,0.00,5.00,0.00,0.00
48864,0.11,74.50,0.00,0.00,5.00,0.00,0.00
48964,0.10,74.50,0.00,0.00,5.00,0.00,0.00
49063,0.09,74.50,0.00,0.00,5.00,0.00,0.00
49163,0.08,74.50,0.00,0.00,5.00,0.00,0.00
49264,0.07,74.50,0.00,0.00,5.00,0.00,0.00
49365,0.06,74.50,0.00,0.00,5.00,0.00,0.00
49465,0.05,74.50,0.00,0.00,5.00,0.00,0.00
49565,0.04,74.50,0.00,0.00,5.00,0.00,0.00
49665,0.03,74.50,0.00,0.00,5.00,0.00,0.00
49765,0.02,74.50,0.00,0.00,5.00,0.00,0.00
49865,0.01,74.50,0.00,0.00,5.00,0.00,0.00
49966,-0.00,74.50,0.00,0.00,5.00,0.00,0.00
